Performing system checks...

System check identified no issues (0 silenced).
October 01, 2017 - 10:26:13
Django version 1.11.4, using settings 'mysite.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.
[01/Oct/2017 10:26:14] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1667
[01/Oct/2017 10:26:18] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[01/Oct/2017 10:26:18] "GET /admin/ HTTP/1.1" 200 3424
[01/Oct/2017 10:26:18] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 412
[01/Oct/2017 10:26:18] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564
[01/Oct/2017 10:26:18] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[01/Oct/2017 10:26:18] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[01/Oct/2017 10:26:31] "GET /admin/blog/post/add/ HTTP/1.1" 200 7186
[01/Oct/2017 10:26:31] "GET /static/admin/js/core.js HTTP/1.1" 200 7976
[01/Oct/2017 10:26:31] "GET /admin/jsi18n/ HTTP/1.1" 200 8379
[01/Oct/2017 10:26:31] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6591
[01/Oct/2017 10:26:31] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
[01/Oct/2017 10:26:31] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 258648
[01/Oct/2017 10:26:31] "GET /static/admin/js/actions.js HTTP/1.1" 200 6501
[01/Oct/2017 10:26:31] "GET /static/admin/js/urlify.js HTTP/1.1" 200 8186
[01/Oct/2017 10:26:31] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
[01/Oct/2017 10:26:31] "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1538
[01/Oct/2017 10:26:31] "GET /static/admin/js/calendar.js HTTP/1.1" 200 7790
[01/Oct/2017 10:26:31] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 20529
[01/Oct/2017 10:26:31] "GET /static/admin/js/change_form.js HTTP/1.1" 200 712
[01/Oct/2017 10:26:31] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 495
[01/Oct/2017 10:26:32] "GET /static/admin/css/forms.css HTTP/1.1" 200 8173
[01/Oct/2017 10:26:32] "GET /static/admin/css/widgets.css HTTP/1.1" 200 10340
[01/Oct/2017 10:26:32] "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
[01/Oct/2017 10:26:32] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[01/Oct/2017 10:27:03] "POST /admin/blog/post/add/ HTTP/1.1" 302 0
[01/Oct/2017 10:27:03] "GET /admin/blog/post/ HTTP/1.1" 200 4436
[01/Oct/2017 10:27:03] "GET /static/admin/css/changelists.css HTTP/1.1" 200 6170
[01/Oct/2017 10:27:03] "GET /admin/jsi18n/ HTTP/1.1" 200 8379
[01/Oct/2017 10:27:03] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[01/Oct/2017 10:27:03] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[01/Oct/2017 10:27:10] "GET / HTTP/1.1" 200 1776
[01/Oct/2017 10:27:19] "GET /admin/blog/post/ HTTP/1.1" 200 4242
